Run,Loc_Score,Angle_Score,stddev,gamma,d_long,d_short,k1,k2,k3,k4
60,8.10707,0.34964,0.2482319031964278,0.829585886491334,1.476492395486433,0.34196298843359774,0.17002134575050185,0.10811369841592253,0.1690744147370044,0.06120003623592674
61,8.01239,0.33136,0.2978691834525215,0.6411144965675712,1.3361128083032245,0.4464653095036915,0.07570328702075839,0.1865457806891582,0.3047009235954157,0.4402849081190418
62,7.97719,0.32217,0.03863842634703289,0.35308384855832203,1.1652110458056861,0.42359811131043135,0.115939277752687,0.4842641115675923,0.0331481203029443,0.35957528083253865
63,7.94851,0.35216,0.17330686998189967,0.06491425835268824,1.3952363682699684,0.45848251288709846,0.3208549259454019,0.14815457845893368,0.3931730716731645,0.2459621852030523
64,7.97915,0.33699,0.12870353587786046,0.27378107908241567,1.316896290253699,0.2980621214778435,0.38991254259880376,0.33925085043310976,0.13955955784144425,0.13922618850471044
65,7.97376,0.36617,0.08293819231905436,0.2780746529388113,1.2960622570887297,0.4403221320834845,0.49406663430004316,0.3227281017657774,0.08774674256490582,0.02437733871767251
66,7.97179,0.31577,0.2003544224506574,0.07613902048293615,1.1376718555155616,0.3829343761005425,0.07214803031307762,0.28049615656865673,0.03812787270248849,0.31711324783672445
67,7.99377,0.3459,0.03572920760537324,0.032911657074995895,1.3494281017330167,0.26534757086291694,0.23373174841553868,0.31309255655376705,0.346306122925214,0.14123694512709786
68,7.979,0.35446,0.06515969020753097,0.5595700490363155,1.365964201976753,0.3952866669381634,0.36775358638486394,0.2804675371457382,0.3478942126831537,0.46292710085567795
69,5.98304,0.3446,0.06150727924684293,0.8675178577802246,1.4125811834208848,0.29310317998398416,0.1162717479466416,0.04713928753470222,0.3090170648182722,0.22241931763470535
70,8.01697,0.3406,0.259700762500989,0.12717214127360565,1.481701791078939,0.41794823077288856,0.4556151315497776,0.17653434920509387,0.4671190728476583,0.3545900619299128
71,8.02601,0.33656,0.2725617577134356,0.027166189457636603,1.1207041425963717,0.2070862262027613,0.38313258612993795,0.42536976015503986,0.16207729417940744,0.02835800985518666
72,7.99941,0.34022,0.19195340456443788,0.6076647088633083,1.156697048616276,0.24741846188097422,0.3024885025716964,0.24035377693361742,0.2210011327641265,0.2310363068040445
73,8.01607,0.35719,0.08280004658401709,0.051815638923029025,1.3491088093961592,0.40232057632653606,0.0719532666127154,0.3877922254249569,0.06265540499606216,0.1951911313733827
74,8.0229,0.34331,0.23805680674840207,0.4396424232169839,1.2235681071833435,0.21849467785886614,0.29091574203273435,0.2605677832037471,0.24873715703347876,0.31141335669514864
75,8.00063,0.32811,0.24318546047722908,0.6063494097890213,1.3153637853009,0.3483268428696031,0.13814730162964287,0.2918311356655863,0.3354180253189189,0.2632442042464357
76,7.98279,0.33327,0.10827501620983371,0.12326188488062813,1.4271568137246793,0.47519983654302655,0.48272772331628433,0.26282532369152345,0.42176536030017275,0.07053774687113444
77,7.92601,0.34148,0.06463810630862625,0.6186315056890684,1.2498180413240654,0.4407639079536696,0.4962018461128999,0.2007049468856629,0.1756565846622335,0.14900535368527798
78,7.96109,0.31189,0.2937435272755729,0.9630864327127254,1.49916110661429,0.2610278739817016,0.4331731238213283,0.30897792078856884,0.42237214675137513,0.3449569344378195
79,8.01618,0.35281,0.18690786515357463,0.4242429633031929,1.4156359854248586,0.354346591644373,0.40691141664417874,0.16433731938868987,0.24815207218890048,0.3364978471756496
80,8.05201,0.3361,0.2625224834828776,0.9890132980794029,1.440107587248764,0.211133983477493,0.38783597859206714,0.41324895113783433,0.24831714929101592,0.49391286097531795
81,7.98098,0.34631,0.16794649064841405,0.9577888845933479,1.0553806021647638,0.4622250816847082,0.30134960979254444,0.16509521035237654,0.11478975996875612,0.49486936046676017
82,7.952,0.34814,0.08176180064852857,0.25822450840179617,1.4666494828661127,0.4257462449081594,0.4847919430210354,0.2992385548899287,0.3283044462602483,0.42867457983249635
1,7.97482,0.37037,0.26208431615565597,0.4282675669369499,1.3091833701709987,0.2535969957398514,0.3895675762607249,0.055312005326710524,0.11318536797778411,0.04128100961677977
2,7.97431,0.33661,0.21383511130156713,0.12608954097523023,1.370089678790679,0.23902844375293636,0.2389490254437463,0.28931349806224094,0.28153672540132835,0.3400255408911168
3,7.99961,0.33059,0.10801742192420984,0.652517898963052,1.4551197166204135,0.20096830162735874,0.1352654060895392,0.18109809053324766,0.141547002645099,0.09448647312658276
4,8.0023,0.33687,0.15984593359916788,0.5030950140475465,1.3799529951745455,0.2496118160982948,0.26306567282925436,0.07216253513728223,0.11710967751935765,0.19048664933974643
5,7.98125,0.33783,0.20398104922747412,0.20546252616205946,1.337015330934286,0.28638903298161217,0.35023752738289526,0.24731573969206222,0.356770267666108,0.23926161739405352
6,7.94902,0.33279,0.2966747080767681,0.7271090871122319,1.3941307823055502,0.2072279310736675,0.2895136163539191,0.19342716751319072,0.24628204795662545,0.05099784344189704
7,7.98551,0.33888,0.16133856561098409,0.905019885485774,1.4192618745126235,0.23126301085014636,0.3940237956509659,0.13665929463980042,0.4078866380219133,0.3450185770506722
8,8.01055,0.34763,0.2823175073924562,0.5793921334493455,1.4652490350470648,0.22271698639082133,0.2346041841726233,0.21441101707648114,0.1436580618127846,0.38709044059027115
9,8.02794,0.33288,0.14191736934328347,0.25520845679750315,1.3027202774630182,0.25052068661964844,0.2079226578203769,0.321341991364269,0.3671711487061392,0.084452488530003
